date,from_currency_code,to_currency_code,exchange_rate
2024-04-22,EUR,USD,1.06319999999999992291
2024-04-23,EUR,USD,1.06739999999999990443
2024-04-24,EUR,USD,1.06859999999999999432
2024-04-25,EUR,USD,1.07200000000000006395
2024-04-26,EUR,USD,1.07139999999999990798
2024-04-29,EUR,USD,1.07200000000000006395
2024-04-30,EUR,USD,1.07180000000000008598
2024-05-02,EUR,USD,1.06980000000000008420
2024-05-03,EUR,USD,1.07440000000000002167
2024-05-06,EUR,USD,1.07759999999999989129
2024-05-07,EUR,USD,1.07660000000000000142
2024-05-08,EUR,USD,1.07430000000000003268
2024-05-09,EUR,USD,1.07319999999999993179
2024-05-10,EUR,USD,1.07790000000000008029
2024-05-13,EUR,USD,1.07949999999999990408
2024-05-14,EUR,USD,1.07959999999999989306
2024-05-15,EUR,USD,1.08319999999999994067
2024-05-16,EUR,USD,1.08660000000000001030
2024-05-17,EUR,USD,1.08440000000000003055
2024-05-20,EUR,USD,1.08610000000000006537
2024-05-21,EUR,USD,1.08640000000000003233
2024-05-22,EUR,USD,1.08299999999999996270
2024-05-23,EUR,USD,1.08539999999999992042
2024-05-24,EUR,USD,1.08400000000000007461
2024-05-27,EUR,USD,1.08430000000000004157
2024-05-28,EUR,USD,1.08820000000000005613
2024-05-29,EUR,USD,1.08570000000000010942
2024-05-30,EUR,USD,1.08149999999999990585
2024-05-31,EUR,USD,1.08519999999999994245
2024-06-03,EUR,USD,1.08420000000000005258
2024-06-04,EUR,USD,1.08650000000000002132
2024-06-05,EUR,USD,1.08719999999999994422
2024-06-06,EUR,USD,1.08650000000000002132
2024-06-07,EUR,USD,1.08980000000000010196
2024-06-10,EUR,USD,1.07559999999999988951
2024-06-11,EUR,USD,1.07299999999999995381
2024-06-12,EUR,USD,1.07650000000000001243
2024-06-13,EUR,USD,1.07840000000000002522
2024-06-14,EUR,USD,1.06859999999999999432
2024-06-17,EUR,USD,1.07119999999999993001
2024-06-18,EUR,USD,1.07149999999999989697
2024-06-19,EUR,USD,1.07489999999999996660
2024-06-20,EUR,USD,1.07190000000000007496
2024-06-21,EUR,USD,1.06879999999999997229
2024-06-24,EUR,USD,1.07299999999999995381
2024-06-25,EUR,USD,1.07139999999999990798
2024-06-26,EUR,USD,1.06889999999999996128
2024-06-27,EUR,USD,1.06960000000000010623
2024-06-28,EUR,USD,1.07050000000000000711
2024-07-01,EUR,USD,1.07450000000000001066
2024-07-02,EUR,USD,1.07289999999999996483
2024-07-03,EUR,USD,1.07580000000000008953
2024-07-04,EUR,USD,1.08000000000000007105
2024-07-05,EUR,USD,1.08240000000000002878
2024-07-08,EUR,USD,1.08349999999999990763
2024-07-09,EUR,USD,1.08139999999999991687
2024-07-10,EUR,USD,1.08250000000000001776
2024-07-11,EUR,USD,1.08549999999999990941
2024-07-12,EUR,USD,1.08899999999999996803
2024-07-15,EUR,USD,1.09070000000000000284
2024-07-16,EUR,USD,1.09020000000000005791
2024-07-17,EUR,USD,1.09339999999999992752
2024-07-18,EUR,USD,1.09299999999999997158
2024-07-19,EUR,USD,1.08899999999999996803
2024-07-22,EUR,USD,1.08879999999999999005
2024-07-23,EUR,USD,1.08600000000000007638
2024-07-24,EUR,USD,1.08479999999999998650
2024-07-25,EUR,USD,1.08509999999999995346
2024-07-26,EUR,USD,1.08600000000000007638
2024-07-29,EUR,USD,1.08170000000000010587
2024-07-30,EUR,USD,1.08240000000000002878
2024-07-31,EUR,USD,1.08279999999999998472
2024-08-01,EUR,USD,1.07889999999999997016
2024-08-02,EUR,USD,1.08349999999999990763
2024-08-05,EUR,USD,1.09660000000000001918
2024-08-06,EUR,USD,1.09149999999999991473
2024-08-07,EUR,USD,1.09220000000000005969
2024-08-08,EUR,USD,1.09299999999999997158
2024-08-09,EUR,USD,1.09169999999999989271
2024-08-12,EUR,USD,1.09250000000000002665
2024-08-13,EUR,USD,1.09309999999999996056
2024-08-14,EUR,USD,1.10190000000000010161
2024-08-15,EUR,USD,1.10109999999999996767
2024-08-16,EUR,USD,1.09939999999999993285
2024-08-19,EUR,USD,1.10410000000000008136
2024-08-20,EUR,USD,1.10840000000000005187
2024-08-21,EUR,USD,1.11159999999999992149
2024-08-22,EUR,USD,1.11349999999999993427
2024-08-23,EUR,USD,1.11210000000000008846
2024-08-26,EUR,USD,1.11630000000000006999
2024-08-27,EUR,USD,1.11620000000000008100
2024-08-28,EUR,USD,1.11169999999999991047
2024-08-29,EUR,USD,1.10880000000000000782
2024-08-30,EUR,USD,1.10870000000000001883
2024-09-02,EUR,USD,1.10610000000000008313
2024-09-03,EUR,USD,1.10349999999999992539
2024-09-04,EUR,USD,1.10499999999999998224
2024-09-05,EUR,USD,1.10969999999999990870
2024-09-06,EUR,USD,1.11030000000000006466
2024-09-09,EUR,USD,1.10430000000000005933
2024-09-10,EUR,USD,1.10309999999999996945
2024-09-11,EUR,USD,1.10430000000000005933
2024-09-12,EUR,USD,1.10159999999999991260
2024-09-13,EUR,USD,1.10810000000000008491
2024-09-16,EUR,USD,1.11260000000000003340
2024-09-17,EUR,USD,1.11389999999999989022
2024-09-18,EUR,USD,1.11240000000000005542
2024-09-19,EUR,USD,1.11559999999999992504
2024-09-20,EUR,USD,1.11660000000000003695
